name,Black,Hispanic,Asian,Other,White,Native American,Male,Female,type,category
Creative Writing,7,5,5,1,11,0,16,13,Regular,Humanities
AP English Lit and Comp,7,2,9,0,3,0,5,16,AP,Humanities
AP US History,5,6,2,0,11,0,7,17,AP,Humanities
Latin 1 Honors,4,6,10,2,4,0,5,21,Honors,Language
Precalculus Honors,8,3,15,0,2,0,12,16,Honors,STEM
AP Calculus BC,1,3,14,0,2,0,7,13,AP,STEM
Chemistry 1 Honors,3,3,19,0,3,0,9,19,Honors,STEM
AP Physics 1,4,5,12,0,6,0,17,10,AP,STEM
AP Physicis 1(2),7,3,5,2,8,0,16,9,AP,STEM
AP Physics 2,6,2,3,0,1,0,10,2,AP,STEM
MS Band (various sections),14,19,6,3,29,0,40,31,Regular,Arts
HS Theatre,11,4,2,0,11,0,13,15,Regular,Arts
Intro to Theatre,2,0,0,1,5,0,2,6,Regular,Arts
Anatomy and Physiology,6,3,10,0,8,1,7,21,Regular,STEM
Anatomy and Physiology (2),10,4,9,0,8,0,7,24,Regular,STEM
AP Bio ,4,5,7,0,9,0,8,17,AP,STEM
AP Bio (2),3,4,13,0,5,0,2,23,AP,STEM
AP Calc AB,7,5,10,0,3,0,7,18,AP,STEM
AP Chemistry,2,2,10,0,3,0,9,8,AP,STEM
AP Comparative Government,6,5,6,0,10,1,11,17,AP,Humanities
AP Comparative Government (2),12,8,2,1,8,0,13,18,AP,Humanities
AP Computer Science Principles,8,2,9,0,4,1,13,11,AP,STEM
AP Computer Science Principles (2),10,3,10,1,5,0,18,11,AP,STEM
AP Econcomics (2),9,4,8,0,10,0,14,17,AP,Humanities
AP Economics,5,4,9,2,11,0,10,21,AP,Humanities
AP English Lit ad Comp (2),7,7,2,0,14,0,9,21,AP,Humanities
AP English Lit ad Comp (3),9,5,5,0,12,0,12,19,AP,Humanities
AP Enviro Sci,8,2,6,0,2,0,16,2,AP,STEM
AP Euro,5,8,8,1,8,0,9,11,AP,Humanities
AP Euro (2),8,5,7,1,7,1,12,17,AP,Humanities
AP Euro (3),7,8,6,0,10,0,13,18,AP,Humanities
AP Euro (4),6,7,11,0,6,1,11,20,AP,Humanities
AP Gov,10,7,7,1,6,0,8,23,AP,Humanities
AP Gov (2),12,3,3,0,13,0,17,14,AP,Humanities
AP Gov (3),8,8,3,0,10,0,10,19,AP,Humanities
AP Language and Composition,4,7,9,1,3,1,4,21,AP,Humanities
AP Language Comp (2),11,6,11,0,2,0,6,24,AP,Humanities
AP Latin,5,4,10,1,4,1,5,20,AP,Language
AP Spanish,2,12,0,0,7,0,6,15,AP,Language
AP US History,7,6,3,2,10,0,5,23,AP,Humanities
AQR (Quantitative Reasoning),4,5,3,0,5,0,11,6,Regular,STEM
AQR (Quantitative Reasoning)(2),8,3,3,0,17,0,14,17,Regular,STEM
AQR (Quantitative Reasoning) (3),6,2,1,0,4,0,3,10,Regular,STEM
Arabic 1,7,8,1,2,9,0,11,16,Regular,Language
Arabic 2,7,6,1,0,5,0,13,6,Regular,Language
Arabic 2.2,7,3,1,1,8,0,11,9,Regular,Language
Arabic 3,5,10,6,1,5,0,13,14,Regular,Language
Arabic 4 Honors,6,4,2,0,4,0,6,10,Honors,Language
